日期,代码,名称,类型,conf,5根,10根,20根,40根,净收益(扣成本),止损后净收益
2023-03-27,600771,广誉远,Spring,94,5.69%,7.41%,5.23%,15.54%,4.43%,4.43%
2023-03-28,603195,公牛集团,Spring,93,2.85%,-0.22%,-2.45%,1.02%,-3.25%,-3.25%
2023-03-30,002478,常宝股份,Spring,93,4.17%,5.07%,20.65%,29.36%,19.85%,19.85%
2023-04-11,002379,宏桥控股,Spring,97,0.00%,-4.76%,-1.90%,-0.95%,-2.70%,-2.70%
2023-04-12,000951,中国重汽,Spring,97,5.05%,2.28%,7.69%,13.52%,6.89%,6.89%
2023-04-24,002249,大洋电机,Spring,98,9.48%,10.93%,10.52%,14.13%,9.72%,9.72%
2023-04-24,601218,吉鑫科技,Spring,98,2.36%,2.62%,3.93%,-3.99%,3.13%,3.13%
2023-04-24,000869,张  裕Ａ,Spring,97,9.84%,9.88%,4.16%,8.09%,3.36%,3.36%
2023-04-25,000030,富奥股份,Spring,98,5.59%,8.50%,9.62%,15.37%,8.82%,8.82%
2023-04-25,000550,江铃汽车,Spring,98,8.73%,13.65%,3.81%,8.81%,3.01%,3.01%
2023-04-25,600261,阳光照明,Spring,98,9.32%,12.11%,12.11%,13.37%,11.31%,11.31%
2023-04-25,605196,华通线缆,Spring,98,6.05%,6.35%,9.08%,4.84%,8.28%,8.28%
2023-04-25,000652,泰达股份,Spring,97,6.19%,8.91%,2.72%,-1.73%,1.92%,1.92%
2023-04-25,603708,家家悦,Spring,97,23.19%,19.75%,13.23%,10.24%,12.43%,12.43%
2023-04-25,000828,东莞控股,Spring,96,8.80%,7.62%,1.18%,-2.04%,0.38%,0.38%
2023-04-25,002640,跨境通,Spring,95,7.38%,19.85%,6.11%,-10.18%,5.31%,5.31%
2023-04-25,000534,万泽股份,Spring,93,11.45%,6.68%,11.39%,3.86%,10.59%,10.59%
2023-04-25,603826,坤彩科技,Spring,93,-1.80%,3.79%,3.84%,-4.05%,3.04%,3.04%
2023-04-25,600894,广日股份,Spring,92,5.22%,5.95%,7.26%,8.27%,6.46%,6.46%
2023-04-25,605266,健之佳,Spring,90,12.66%,8.58%,8.04%,13.40%,7.24%,7.24%
2023-04-27,002903,宇环数控,Spring,95,0.13%,10.34%,9.52%,11.57%,8.72%,8.72%
2023-04-27,002061,浙江交科,Shakeout,94,8.03%,1.20%,1.98%,9.62%,1.18%,1.18%
2023-04-27,002757,南兴股份,Spring,94,12.79%,10.60%,13.66%,32.85%,12.86%,12.86%
2023-04-27,002151,北斗星通,Spring,92,-0.25%,0.52%,-0.43%,7.36%,-1.23%,-1.23%
2023-04-28,002039,黔源电力,Spring,96,-0.79%,5.56%,3.54%,3.74%,2.74%,2.74%
